-1,-1,-1,5095,-1,-1,-1,5095,-1,-1,-1,5095,-1,-1,-1,5095,-1,-1,-1,5095,1,84,4864,5095
-1,-1,-1,5108,-1,-1,-1,5108,-1,-1,-1,5108,-1,-1,-1,5108,-1,-1,-1,5108,-1,-1,-1,5108
3,73,5120,5120,-1,-1,-1,5120,-1,-1,-1,5120,0,70,5120,5120,-1,-1,-1,5120,0,82,5120,5120
3,73,5120,5364,-1,-1,-1,5364,-1,-1,-1,5364,0,70,5120,5364,-1,-1,-1,5364,-1,-1,-1,5364
3,73,5120,5376,-1,-1,-1,5376,-1,-1,-1,5376,0,70,5120,5376,-1,-1,-1,5376,0,84,5376,5376
-1,-1,-1,5607,-1,-1,-1,5607,-1,-1,-1,5607,-1,-1,-1,5607,-1,-1,-1,5607,0,84,5376,5607
-1,-1,-1,5620,-1,-1,-1,5620,-1,-1,-1,5620,-1,-1,-1,5620,-1,-1,-1,5620,-1,-1,-1,5620
3,72,5632,5632,-1,-1,-1,5632,-1,-1,-1,5632,0,67,5632,5632,3,82,5632,5632,-1,-1,-1,5632
-1,-1,-1,6119,-1,-1,-1,6119,-1,-1,-1,6119,-1,-1,-1,6119,-1,-1,-1,6119,-1,-1,-1,6119
-1,-1,-1,6144,3,73,6144,6144,-1,-1,-1,6144,-1,-1,-1,6144,1,76,6144,6144,3,90,6144,6144
-1,-1,-1,6388,3,73,6144,6388,-1,-1,-1,6388,-1,-1,-1,6388,1,76,6144,6388,-1,-1,-1,6388
-1,-1,-1,6400,3,73,6144,6400,-1,-1,-1,6400,-1,-1,-1,6400,1,76,6144,6400,3,84,6400,6400
-1,-1,-1,6631,-1,-1,-1,6631,-1,-1,-1,6631,-1,-1,-1,6631,-1,-1,-1,6631,3,84,6400,6631
-1,-1,-1,6644,-1,-1,-1,6644,-1,-1,-1,6644,-1,-1,-1,6644,-1,-1,-1,6644,-1,-1,-1,6644
1,68,6656,6656,-1,-1,-1,6656,-1,-1,-1,6656,2,71,6656,6656,-1,-1,-1,6656,1,84,6656,6656
1,68,6656,6900,-1,-1,-1,6900,-1,-1,-1,6900,2,71,6656,6900,-1,-1,-1,6900,-1,-1,-1,6900
1,68,6656,6912,-1,-1,-1,6912,-1,-1,-1,6912,2,71,6656,6912,-1,-1,-1,6912,1,85,6912,6912
-1,-1,-1,7143,-1,-1,-1,7143,-1,-1,-1,7143,-1,-1,-1,7143,-1,-1,-1,7143,1,85,6912,7143
-1,-1,-1,7156,-1,-1,-1,7156,-1,-1,-1,7156,-1,-1,-1,7156,-1,-1,-1,7156,-1,-1,-1,7156
3,73,7168,7168,-1,-1,-1,7168,-1,-1,-1,7168,0,70,7168,7168,-1,-1,-1,7168,0,82,7168,7168
3,73,7168,7412,-1,-1,-1,7412,-1,-1,-1,7412,0,70,7168,7412,-1,-1,-1,7412,-1,-1,-1,7412
3,73,7168,7424,-1,-1,-1,7424,-1,-1,-1,7424,0,70,7168,7424,-1,-1,-1,7424,0,82,7424,7424
-1,-1,-1,7655,-1,-1,-1,7655,-1,-1,-1,7655,-1,-1,-1,7655,-1,-1,-1,7655,0,82,7424,7655
-1,-1,-1,7668,-1,-1,-1,7668,-1,-1,-1,7668,-1,-1,-1,7668,-1,-1,-1,7668,-1,-1,-1,7668
3,69,7680,7680,-1,-1,-1,7680,-1,-1,-1,7680,0,70,7680,7680,3,83,7680,7680,-1,-1,-1,7680
-1,-1,-1,8167,-1,-1,-1,8167,-1,-1,-1,8167,-1,-1,-1,8167,-1,-1,-1,8167,-1,-1,-1,8167
-1,-1,-1,8192,3,73,8192,8192,2,69,8192,8192,-1,-1,-1,8192,1,82,8192,8192,-1,-1,-1,8192
-1,-1,-1,8436,3,73,8192,8436,2,69,8192,8436,-1,-1,-1,8436,-1,-1,-1,8436,-1,-1,-1,8436
-1,-1,-1,8448,3,73,8192,8448,2,69,8192,8448,-1,-1,-1,8448,1,83,8448,8448,-1,-1,-1,8448
-1,-1,-1,8679,-1,-1,-1,8679,-1,-1,-1,8679,-1,-1,-1,8679,1,83,8448,8679,-1,-1,-1,8679
-1,-1,-1,8692,-1,-1,-1,8692,-1,-1,-1,8692,-1,-1,-1,8692,-1,-1,-1,8692,-1,-1,-1,8692
-1,-1,-1,8704,3,72,8704,8704,-1,-1,-1,8704,-1,-1,-1,8704,1,80,8704,8704,3,90,8704,8704
-1,-1,-1,8948,3,72,8704,8948,-1,-1,-1,8948,-1,-1,-1,8948,1,80,8704,8948,-1,-1,-1,8948
-1,-1,-1,8960,3,72,8704,8960,-1,-1,-1,8960,-1,-1,-1,8960,1,80,8704,8960,3,83,8960,8960
-1,-1,-1,9191,-1,-1,-1,9191,-1,-1,-1,9191,-1,-1,-1,9191,-1,-1,-1,9191,3,83,8960,9191
-1,-1,-1,9204,-1,-1,-1,9204,-1,-1,-1,9204,-1,-1,-1,9204,-1,-1,-1,9204,-1,-1,-1,9204
1,68,9216,9216,-1,-1,-1,9216,-1,-1,-1,9216,-1,-1,-1,9216,1,69,9216,9216,5,87,9216,9216
1,68,9216,9460,-1,-1,-1,9460,-1,-1,-1,9460,-1,-1,-1,9460,1,69,9216,9460,-1,-1,-1,9460
1,68,9216,9472,-1,-1,-1,9472,-1,-1,-1,9472,-1,-1,-1,9472,1,69,9216,9472,5,81,9472,9472
-1,-1,-1,9703,-1,-1,-1,9703,-1,-1,-1,9703,-1,-1,-1,9703,-1,-1,-1,9703,5,81,9472,9703
-1,-1,-1,9716,-1,-1,-1,9716,-1,-1,-1,9716,-1,-1,-1,9716,-1,-1,-1,9716,-1,-1,-1,9716
